Date,Open,High,Low,Close,Adj Close,Volume
2014-04-21,0.140000,0.140000,0.130000,0.130000,0.130000,277600
2014-04-22,0.130000,0.130000,0.130000,0.130000,0.130000,108600
2014-04-23,0.130000,0.130000,0.130000,0.130000,0.130000,115800
2014-04-24,0.130000,0.140000,0.130000,0.140000,0.140000,137700
2014-04-25,0.140000,0.140000,0.130000,0.130000,0.130000,154100
2014-04-28,0.130000,0.130000,0.130000,0.130000,0.130000,102200
2014-04-29,0.130000,0.130000,0.130000,0.130000,0.130000,358100
2014-04-30,0.130000,0.130000,0.130000,0.130000,0.130000,167500
2014-05-01,0.130000,0.130000,0.130000,0.130000,0.130000,95500
2014-05-02,0.140000,0.140000,0.140000,0.140000,0.140000,204000
2014-05-05,0.140000,0.140000,0.130000,0.130000,0.130000,166900
2014-05-06,0.130000,0.130000,0.130000,0.130000,0.130000,42100
2014-05-07,0.130000,0.130000,0.130000,0.130000,0.130000,188600
2014-05-08,0.130000,0.130000,0.130000,0.130000,0.130000,133100
2014-05-09,0.130000,0.130000,0.120000,0.130000,0.130000,284500
2014-05-12,0.120000,0.130000,0.120000,0.130000,0.130000,112900
2014-05-13,0.130000,0.130000,0.130000,0.130000,0.130000,30000
2014-05-14,0.120000,0.130000,0.110000,0.130000,0.130000,155000
2014-05-15,0.130000,0.130000,0.120000,0.120000,0.120000,165200
2014-05-16,0.120000,0.130000,0.120000,0.130000,0.130000,171100
2014-05-20,0.120000,0.130000,0.120000,0.130000,0.130000,89500
2014-05-21,0.120000,0.130000,0.120000,0.130000,0.130000,84000
2014-05-22,0.130000,0.130000,0.130000,0.130000,0.130000,191500
2014-05-23,0.130000,0.130000,0.130000,0.130000,0.130000,173500
2014-05-26,0.130000,0.130000,0.130000,0.130000,0.130000,264000
2014-05-27,0.130000,0.130000,0.120000,0.120000,0.120000,95600
2014-05-28,0.120000,0.130000,0.120000,0.120000,0.120000,118700
2014-05-29,0.120000,0.130000,0.120000,0.120000,0.120000,48300
2014-05-30,0.120000,0.120000,0.120000,0.120000,0.120000,230800
2014-06-02,0.120000,0.130000,0.120000,0.130000,0.130000,123400
2014-06-03,0.130000,0.130000,0.120000,0.120000,0.120000,23900
2014-06-04,0.120000,0.130000,0.120000,0.130000,0.130000,142200
2014-06-05,0.120000,0.130000,0.120000,0.120000,0.120000,52000
2014-06-06,0.130000,0.130000,0.130000,0.130000,0.130000,10500
2014-06-09,0.120000,0.120000,0.120000,0.120000,0.120000,84400
2014-06-10,0.130000,0.130000,0.120000,0.120000,0.120000,109000
2014-06-11,0.120000,0.130000,0.120000,0.120000,0.120000,93700
2014-06-12,0.120000,0.120000,0.120000,0.120000,0.120000,56300
2014-06-13,0.120000,0.130000,0.120000,0.120000,0.120000,362100
2014-06-16,0.120000,0.120000,0.120000,0.120000,0.120000,37800
2014-06-17,0.120000,0.120000,0.120000,0.120000,0.120000,374400
2014-06-18,0.120000,0.130000,0.120000,0.120000,0.120000,299000
2014-06-19,0.130000,0.130000,0.130000,0.130000,0.130000,2142500
2014-06-20,0.130000,0.130000,0.130000,0.130000,0.130000,343800
2014-06-23,0.130000,0.140000,0.130000,0.130000,0.130000,1042100
2014-06-24,0.140000,0.140000,0.140000,0.140000,0.140000,635000
2014-06-25,0.140000,0.140000,0.140000,0.140000,0.140000,129800
2014-06-26,0.140000,0.140000,0.140000,0.140000,0.140000,174600
2014-06-27,0.140000,0.140000,0.140000,0.140000,0.140000,122400
2014-06-30,0.140000,0.140000,0.130000,0.140000,0.140000,385000
2014-07-02,0.140000,0.140000,0.140000,0.140000,0.140000,229200
2014-07-03,0.140000,0.140000,0.140000,0.140000,0.140000,303500
2014-07-04,0.140000,0.140000,0.140000,0.140000,0.140000,68700
2014-07-07,0.140000,0.140000,0.130000,0.140000,0.140000,277500
2014-07-08,0.140000,0.140000,0.130000,0.140000,0.140000,164400
2014-07-09,0.140000,0.140000,0.140000,0.140000,0.140000,240200
2014-07-10,0.140000,0.150000,0.140000,0.140000,0.140000,498400
2014-07-11,0.140000,0.140000,0.140000,0.140000,0.140000,205700
2014-07-14,0.140000,0.140000,0.140000,0.140000,0.140000,289700
2014-07-15,0.140000,0.140000,0.130000,0.130000,0.130000,120000
2014-07-16,0.140000,0.140000,0.130000,0.140000,0.140000,232800
2014-07-17,0.140000,0.140000,0.140000,0.140000,0.140000,9900
2014-07-18,0.140000,0.140000,0.140000,0.140000,0.140000,99500
2014-07-21,0.140000,0.140000,0.140000,0.140000,0.140000,201500
2014-07-22,0.140000,0.140000,0.140000,0.140000,0.140000,40000
2014-07-23,0.140000,0.140000,0.140000,0.140000,0.140000,69000
2014-07-24,0.140000,0.140000,0.130000,0.130000,0.130000,106500
2014-07-25,0.130000,0.140000,0.130000,0.140000,0.140000,777500
2014-07-28,0.140000,0.140000,0.140000,0.140000,0.140000,104600
2014-07-29,0.140000,0.140000,0.140000,0.140000,0.140000,155500
2014-07-30,0.140000,0.140000,0.130000,0.140000,0.140000,68500
2014-07-31,0.140000,0.140000,0.130000,0.140000,0.140000,143400
2014-08-01,0.140000,0.140000,0.140000,0.140000,0.140000,286300
2014-08-05,0.140000,0.140000,0.140000,0.140000,0.140000,108000
2014-08-06,0.140000,0.140000,0.140000,0.140000,0.140000,245000
2014-08-07,0.140000,0.140000,0.140000,0.140000,0.140000,66300
2014-08-08,0.140000,0.140000,0.140000,0.140000,0.140000,129300
2014-08-11,0.140000,0.140000,0.130000,0.140000,0.140000,420200
2014-08-12,0.140000,0.140000,0.140000,0.140000,0.140000,229500
2014-08-13,0.140000,0.150000,0.140000,0.140000,0.140000,172500
2014-08-14,0.140000,0.140000,0.140000,0.140000,0.140000,45100
2014-08-15,0.140000,0.140000,0.140000,0.140000,0.140000,106100
2014-08-18,0.140000,0.140000,0.140000,0.140000,0.140000,218200
2014-08-19,0.140000,0.140000,0.140000,0.140000,0.140000,62700
2014-08-20,0.140000,0.140000,0.140000,0.140000,0.140000,42300
2014-08-21,0.140000,0.140000,0.140000,0.140000,0.140000,219300
2014-08-22,0.140000,0.150000,0.140000,0.140000,0.140000,248300
2014-08-25,0.140000,0.150000,0.140000,0.140000,0.140000,181600
2014-08-26,0.150000,0.160000,0.140000,0.150000,0.150000,203100
2014-08-27,0.140000,0.150000,0.140000,0.140000,0.140000,178300
2014-08-28,0.140000,0.150000,0.140000,0.150000,0.150000,65900
2014-08-29,0.140000,0.160000,0.140000,0.160000,0.160000,173500
2014-09-02,0.150000,0.150000,0.140000,0.140000,0.140000,164800
2014-09-03,0.150000,0.160000,0.140000,0.160000,0.160000,79600
2014-09-04,0.160000,0.160000,0.140000,0.140000,0.140000,178200
2014-09-05,0.150000,0.150000,0.140000,0.150000,0.150000,71100
2014-09-08,0.140000,0.150000,0.140000,0.140000,0.140000,336300
2014-09-09,0.150000,0.150000,0.140000,0.140000,0.140000,16600
2014-09-10,0.140000,0.140000,0.140000,0.140000,0.140000,143300
2014-09-11,0.140000,0.140000,0.140000,0.140000,0.140000,39100
2014-09-12,0.140000,0.140000,0.130000,0.140000,0.140000,486300
2014-09-15,0.140000,0.140000,0.130000,0.140000,0.140000,74900
2014-09-16,0.140000,0.140000,0.140000,0.140000,0.140000,82800
